,0
0,Ki
1,Sæh
2,Sandóikór
3,Aur
4,Sveggurdrgut
5,Bei
6,ybeldi
7,Flín
8,Reild
9,Kargíur
10,Jót
11,Keinginurþórterkinymur
12,Ónstergeiður
13,Mýrgigur
14,Jóvi
15,Len
16,Svandusteríur
17,Þórhatr
18,Kargond
19,Sbennditer
20,Ken
21,vann
22,Oduranfur
23,Sk
24,Fvaur
25,Svisturkar
26,Sel
27,Sinngninjar
28,Björ
29,Lýin
30,Eser
31,Kor
32,Ori
33,Aðall
34,Di
35,Bin
36,Kr
37,Gúnderastis
38,Beldbjas
39,Saur
40,Ban
41,Kogrðbell
42,Hei
43,Ál
44,Dal
45,Sturtar
46,Koni
47,Mer
48,Jór
49,Tirn
50,Særerter
51,Svilbjar
52,Vör
53,ven
54,Sn
55,Svafun
56,Hán
57,Sállím
58,St
59,Ber
60,Sturnns
61,Cetei
62,Var
63,Rurri
64,Elmas
65,Bjasi
66,Skviligr
67,Sinur
68,Silmar
69,Jól
70,Alíkol
71,Nir
72,Bjars
73,Gon
74,Ró
75,Umal
76,Ben
77,Sinigur
78,Bjar
79,Vinn
80,Stal
81,Sír
82,Múni
83,Evilangus
84,Vi
85,Kon
86,Svelfinndistergur
87,Sifur
88,Kan
89,Bjór
90,Har
91,Þón
92,Stes
93,Er
94,Bar
95,Hjarggiggr
96,Mes
97,Bjói
98,Stepkhótetel
99,Svei
100,Karrðíkan
101,Þórigar
102,Korein
103,Stest
104,Gó
105,Stteirn
106,Elfareiganigur
107,Heigerger
108,Fjóð
109,Kl
110,Kochíkurturtar
111,Rurinjargigurigugurgrr
112,Góreir
113,Heigdur
114,Kinggurer
115,Engurn
116,Si
117,Indújólarhanar
118,Sigugurgurll
119,Svarmal
120,Ringigur
121,Skínbjarlíalmarmuðvar
122,Gur
123,Kes
124,Saráteldur
125,Par
126,Haninjör
127,Kargigur
128,Sturarðmeturi
129,Eyal
130,Sóstitarbenns
131,Ost
132,Karrti
133,Frigurðbelleinnnistus
134,Het
135,Rur
136,Gar
137,Gjareríeybjalílíalar
138,Skímalvi
139,Sinvall
140,Ro
141,Don
142,Fi
143,Hen
144,Odur
145,Kjar
146,Górgei
147,Ör
148,Svirgugerist
149,Kogur
150,Stmar
151,Stgurguninjarigurinnan
152,Frn
153,Stendis
154,An
155,Sigigugurmigur
156,Gefus
157,Þjal
158,Ján
159,Hjó
160,Skímfur
161,Rer
162,Das
163,Finur
164,Mal
165,Svar
166,Sður
167,Man
168,Fergeistenval
169,Skan
170,Des
171,Þon
172,Tjas
173,Lesal
174,Hildr
175,Jó
176,Fikafigur
177,Jandustergigur
178,Kallal
179,Silbjalli
180,Jás
181,Amuðvi
182,Karier
183,Hlargeinbereri
184,Róler
185,Rand
186,Stelvar
187,Júnnd
188,Fir
189,Hjalurtelldurg
190,Ri
191,Eyvirnsinhígourn
192,Óstikaninelldur
193,Mrgur
194,Sves
195,Eynngnn
196,Frigurigunnnþór
197,Ral
198,Hjór
199,Innnararni
200,Kar
201,Þórhas
202,Pek
203,Beir
204,Dausi
205,Hár
206,Riljórz
207,Elldar
208,Murgun
209,Din
210,Krir
211,Frldur
212,Sts
213,Flíke
214,Sæjór
215,Þonarý
216,Lak
217,Ler
218,Visturln
219,Karnjórnímakr
220,Kargjalmar
221,Garajörtýr
222,Hakilar
223,Frg
224,Skorein
225,Valarir
226,Jör
227,Stelddal
228,Skvitunnn
229,Sthfin
230,Sir
231,Nur
232,Gauninelldur
233,Þórvan
234,Frtnnn
235,Sig
236,Jóttar
237,Sæl
238,Stgrgur
239,Hing
240,Rar
241,Þórafur
242,Hllldlíakar
243,Konnstistergal
244,Kvenitrifugaltkkurtur
245,Skærður
246,Heiðus
247,Heler
248,Rórndi
249,Stharar
250,Hekini
251,Lóðal
252,Sór
253,Dar
254,Karker
255,Sæveiriður
256,Reljar
257,Stet
258,Sbenndil
259,Svi
260,Lús
261,Rót
262,Fl
263,Skeljar
264,Bjórerki
265,Hi
266,Svaur
267,Heylarævar
268,Svergi
269,Snurnnngotortvei
270,Ölíaririnbjar
271,Júnddi
272,Skímar
273,Hetarickeinkelmarggur
274,Sveirturrn
275,Bjas
276,Ár
277,Ste
278,Svargugurgurggur
279,Steður
280,Hefikunnni
281,Norhonbjarti
282,Pen
283,Sanurgur
284,Leiri
285,Bes
286,Stendustergunnnþór
287,Sphr
288,Lórn
289,Be
290,Bjarbjar
291,Steldil
292,Sin
293,Skímur
294,Óndór
295,Sver
296,Tónigurger
297,Kaunar
298,Hey
299,Evar
300,Dargonbjarál
301,Stmuronndal
302,Kur
303,Arein
304,Rjör
305,Skanar
306,Stur
307,Sdur
308,Skorgunbjar
309,Hjör
310,Sólitelin
311,Bjagi
312,Ster
313,Stetein
314,Þóróreldi
315,Kör
316,Særg
317,Vinval
318,Sveur
319,Regunteigur
320,Hjar
321,Flanarn
322,Sæhmurár
323,Ar
324,Sveljör
325,Kaur
326,Krg
327,Heinguri
328,Hin
329,Mi
330,Vás
331,Ellalduril
332,Skes
333,Kri
334,Rargigun
335,Br
336,Drán
337,Henikin
338,Hól
339,Snturereindigmar
340,Ski
341,Les
342,Rr
343,Þórnval
344,Leikilddur
345,Gel
346,Fr
347,Stei
348,Karpei
349,Björgigur
350,Kavaufunnvanókar
351,Skín
352,Karastorfur
353,Svauri
354,Þórn
355,Jár
356,Sdeldór
