,0
0,Heimr
1,Stalur
2,Ásmal
3,Gurgurir
4,HjarBei
5,Gurval
6,Mal
7,Lo
8,El
9,Sakar
10,Syni
11,Syr
12,Dóndir
13,Sónt
14,In
15,Parr
16,Anafurnurkar
17,Kanur
18,Tonafngmur
19,Sóio
20,Heisndur
21,Sveir
22,Hortafór
23,Hin
24,Riner
25,Geyvei
26,Gugugugim
27,Marnæl
28,Jónsturnn
29,Hir
30,All
31,Sæltal
32,Renljórnímameis
33,Svanor
34,Star
35,Jeis
36,Vartur
37,Fynturgi
38,Bjargurnrgymir
39,Germ
40,Jostómar
41,Eli
42,Snarekeyver
43,Al
44,Simasirin
45,St
46,Hi
47,Gi
48,Alar
49,Beikis
50,Nersturtr
51,Emaerigmuriri
52,Har
53,Bral
54,Giar
55,Joðugugugurgeilatimiri
56,Aur
57,Njálærínnullarór
58,Eymann
59,Hvar
60,Mamátulddi
61,Sgakil
62,Beinn
63,Kartuguguri
64,Si
65,Gr
66,Bjöjór
67,Sal
68,Gurtýrgurkur
69,Heler
70,Stvanimilmur
71,Silari
72,Valdólklarðvaur
73,Haker
74,Martal
75,Svanal
76,Krir
77,Eyvarar
78,Er
79,Ástíeimar
80,Nín
81,Hannn
82,Karólmr
83,Reistigiber
84,Elldur
85,Kelitilm
86,Vani
87,Martmannn
88,Hemurin
89,Sin
90,Snúm
91,Harlmaur
92,Ma
93,Sörhór
94,Keigi
95,Ólleifureikei
96,Kalvi
97,Ásmas
98,Svanan
99,Vanales
100,Karxir
101,Valaur
102,Sældir
103,Bldur
104,Mör
105,Krgmar
106,Svaraliki
107,Grenbjölldi
108,Gunir
109,Einnnigi
110,Valar
111,Jeildurtelir
112,Jómurir
113,Siner
114,Kor
115,Ró
116,Varíur
117,Beyvafusndur
118,Hek
119,Amar
120,Sór
121,Tr
122,Halbelör
123,Hankrnómur
124,Hod
125,Alddi
126,Aurtýr
127,Vallvi
128,Bi
129,Ster
130,Ranúl
131,Lei
132,Halin
133,Emaror
134,Sinar
135,Níantygil
136,Ei
137,Allkifar
138,Syn
139,Tal
140,Kargurnúlldi
141,Alag
142,Þolar
143,Siðar
144,Óstoldur
145,Argr
146,Hilmin
147,Lúerös
148,Van
149,Daneenn
150,Gus
151,Þolltvidi
152,Hör
153,Br
154,Svar
155,Sg
156,Hafi
157,Gun
158,Sikar
159,Sörðurnr
160,Gari
161,Edir
162,Sval
163,Edismilíaurldur
164,Dóllt
165,Gurmor
166,Halmintýr
167,Bjandur
168,Hallfrnn
169,Sinifili
170,Gurvi
171,Lútengr
172,Hor
173,Bjartr
174,Gaulddvamútur
175,Amaln
176,Elignannaldur
177,Elduren
178,Gei
179,Hei
180,Kartmalendur
181,Harin
182,Stt
183,Alargynbiðan
184,Panur
185,Vari
186,Mimeilatýr
187,Reinn
188,Harnn
189,Syldur
190,Þonal
191,Örlg
192,Ron
193,Vi
194,Mi
195,Hlfur
196,Kollmeini
197,Bjaur
198,Elínntt
199,Valleir
200,Beigm
201,Jóldur
202,Gurveilur
203,Hóltunjar
204,Skar
205,Heinin
206,Simúturiker
207,Makorgr
208,Siðmargur
209,Stin
210,Martýr
211,Jollir
212,Gurvarigur
213,Symbjór
214,Valdur
215,Bjaun
216,Eler
217,Sn
218,Jór
219,Garlg
220,Relar
221,Eilbjarólsturn
222,Starvi
223,Válimari
224,Ri
225,Jer
226,Önttignten
227,Hyveildur
228,Gurvíeuril
229,Lyn
230,Frir
231,Hanar
232,Var
233,Ed
234,Lóar
235,Lúen
236,Gur
237,Bjan
238,Stalmarftein
239,Bjar
240,Sórurtveskólfur
241,Adur
242,Björ
243,Stmor
244,Valdus
245,Vamoris
246,Li
247,Sini
248,Henn
249,Sk
250,Afanili
251,Fraln
252,Súlli
253,Atarímamusildjör
254,Dókir
255,Marguririgneigaur
256,Sör
257,Karugurnn
258,Svanar
259,Eiðus
260,Krtogur
261,Lig
262,Forer
263,Barjölll
264,Jós
265,Edur
266,Sinur
267,Narernnnnddimigbegól
268,Sinini
269,Hik
270,Haner
271,Hóber
272,Söstinen
273,Böel
274,Halld
275,Sik
276,Sinaur
277,Hr
278,Sórur
279,Hirar
280,Martur
281,Marennin
282,Gargur
283,Theikur
284,And
285,Par
286,Haln
287,Þr
288,Mart
289,Dórlstar
290,Kigerirtanar
291,Emar
292,Mifari
293,Ófur
294,Sir
295,Syal
296,Hjaurekoseiðmar
297,Adór
298,Narguror
299,Valli
300,Kr
301,Gar
302,Gurvir
303,Ra
304,Ögigr
305,Sinartor
306,Fikann
307,Dartjör
308,Jalir
309,Danar
310,Sti
311,Alddr
312,Edar
313,Stikin
314,Beikalel
315,Migerni
316,Rar
317,Fi
318,Ral
319,Alddddur
320,Stengr
321,Gurnnn
322,Gunn
323,Sirkar
324,Geis
325,Þórlmarerfur
326,Sibeharrir
327,Sigerndur
328,Gurvafil
329,Brar
330,Skur
331,Olfól
332,Fálkttil
333,Arnúlsarer
334,Frilenan
335,Ásmniólirgurór
336,Jolltý
337,Sikor
338,Narkifi
339,Gurni
340,Kon
341,Jó
342,Ellbelllíntartar
343,Ni
344,Garbjór
345,Vaníarin
346,Alfur
347,Karki
348,Haurinini
349,Svaur
350,Gerin
351,Fr
352,Frkr
353,Bynur
354,Sænd
355,Þrenng
356,Harðbi
357,Halldur
358,Þrseri
359,Kar
360,Simarteigvar
361,Saldól
362,Hallli
363,Halarntútiður
364,Snúl
365,Ør
366,Astaldór
367,Deril
368,Vanar
369,Svintalennn
370,Þolajárr
371,Svalmi
372,Elar
373,Kríðrtan
374,Stteryr
375,Sólfurtúls
376,Þórn
377,Rör
378,Sóar
379,Ómas
380,Sinin
381,Sórvíen
382,Kmarlal
383,Varar
384,Fynh
385,Fri
386,Kangur
387,Þón
388,Úldini
389,Gaun
390,Sinarímur
391,Danóður
392,Trilerðurer
393,Jeikr
394,Ind
395,Salil
396,Stmer
397,Vafur
398,Ásllbemmintan
399,Stalan
400,Trintartign
401,Róndi
402,Bjeinif
403,Makeir
404,Hymník
405,Svann
406,Kafur
407,Huðurekurgi
408,Gurbjár
409,Ar
410,Amaurnímam
411,Kari
412,Sinastýr
413,Syvar
414,Halmmini
415,Halís
416,Bjanður
417,Keik
418,Ha
419,Jurger
420,Reinin
421,Marvar
422,An
423,Frndur
424,Syvardur
425,Stvan
426,Hini
427,Hjaur
428,Bl
429,Sipler
430,Óldur
431,Gndur
